رقمالإستمارة,إسم المالك,التاريخ,الكمية المرحلة بالجرام,الولاية,الرمز
RS/251,أعمال تالين قولد قولد للإستيراد والتصدير,30/09/2024,2033.7,البحر الأحمر,26
RS/252,شركة أي كوم التجارية المحدودة,01/10/2024,8690.4,البحر الأحمر,7
RS/253,شركة ريناس للذهب والمجوهرات المحدودة,01/10/2024,25000.7,البحر الأحمر,45
RS/254,الشركة الفيصلية المحدودة,02/10/2024,6093.8,البحر الأحمر,6
RS/255,شركة بانوراما للإستيراد والتصدير,03/10/2024,6832.9,البحر الأحمر,24
RS/256,شركة أعمال التعدين المتقدمة المحدودة,06/10/2024,33537.8,البحر الأحمر,15
RS/257,شركة مأموركومرا للإنشطة المتعددة,07/10/2024,25395.6,البحر الأحمر,10
RS/258,أعمال أي كوم التجارية المحدودة,07/10/2024,4347.3,البحر الأحمر,7
RS/259,شركة ريناس للذهب والمجوهرات المحدودة,08/10/2024,24847.6,البحر الأحمر,45
RS/260,أعمال التعدين المتقدمة المحدودة,08/10/2024,11570.5,البحر الأحمر,15
RS/261,أعمال أي كوم التجارية المحدودة,09/10/2024,16232.5,البحر الأحمر,7
RS/262,شركة الكتلة الذهبية المحدودة,09/10/2024,56820.1,البحر الأحمر,32
RS/263,أعمال أي كوم التجارية المحدودة,10/10/2024,3962.9,البحر الأحمر,7
RS/264,شركة أعمال التعدين المتقدمة المحدودة,13/10/2024,26333.8,البحر الأحمر,15
RS/265,شركة أعمال التعدين المتقدمة المحدودة,13/10/2024,27758.8,البحر الأحمر,15
RS/266,شركة الكتلة الذهبية للتعدين المحدودة,13/10/2024,49833.3,البحر الأحمر,32
RS/267,شركة الكتلة الذهبية للتعدين المحدودة,13/10/2024,51440,البحر الأحمر,32
RS/268,شركة الكتلة الذهبية للتعدين المحدودة,13/10/2024,51512.4,البحر الأحمر,32
RS/269,شركة أعمال التعدين المتقدمة المحدودة,13/10/2024,8860,البحر الأحمر,15
RS/270,أعمال أي كوم التجارية,14/10/2024,7500.5,البحر الأحمر,7
RS/271,أعمال علي محمد إبراهيم,15/10/2024,2840,البحر الأحمر,8
RS/272,شركة سوهانيت للتعدين المحدودة,15/10/2024,1180.1,البحر الأحمر,69
RS/273,شركة ريناس للذهب والمجوهرات المحدودة,16/10/2024,20932.1,البحر الأحمر,45
RS/274,شركة علقم للأنشطة المتعددة المحدودة,16/10/2024,18980.1,البحر الأحمر,9
RS/275,شركة أباالقاسم للتجارة والزراعة المحدودة,17/10/2024,24685.5,البحر الأحمر,56
RS/276,شركة نوتايم إنترناشونال للإستيرادوالتصدير,17/10/2024,26286.5,البحر الأحمر,49
RS/277,شركة أعمال التعدين المتقدمة المحدودة,20/10/2024,12768.4,البحر الأحمر,15
RS/278,شركة سوهانيت للتعدين المحدودة,20/10/2024,10466.2,البحر الأحمر,69
RS/279,الشركة الفيصلية المحدودة,21/10/2024,1628.3,البحر الأحمر,6
